gene_id	WT1_FB	WT2_FB	WT3_FB	D1_FB	D2_FB	D3_FB
DDB_G0267178	24.4336867890368	36.6369599034409	27.8413705407998	11.9053356265828	14.7129443837274	31.7150347994968
DDB_G0267180	29.0150030619811	20.3538666130227	23.7167230532739	12.7557167427672	9.29238592656467	47.5725521992452
DDB_G0267182	58.0300061239623	62.224677931241	77.3371403911105	42.5190558092241	18.5847718531293	266.406292315773
DDB_G0267184	22.906581364722	15.7015542443318	7.21813310317032	6.80304892947586	6.19492395104311	3.17150347994968
DDB_G0267188	30.5421084862959	31.98464753475	16.4985899501036	9.35419227802931	12.3898479020862	68.1873248189181
DDB_G0267190	0	0.581539046086364	0	1.70076223236896	0	4.75725521992452
DDB_G0267194	10.6897379702036	9.30462473738183	8.24929497505179	0.850381116184482	11.6154824082058	26.9577795795723
DDB_G0267196	135.912382764017	266.926422153641	249.541172995317	6.80304892947586	3.09746197552156	31.7150347994968
DDB_G0267198	13.7439488188332	19.19078852085	23.7167230532739	4.25190558092241	0	14.2717656597736
DDB_G0267200	0	0	2.06232374376295	0.850381116184482	0	1.58575173997484
DDB_G0267206	15.271054243148	8.1415466452091	11.3427805906962	11.0549545103983	2.32309648164117	30.129283059522
DDB_G0267208	6.10842169725919	15.1200151982455	5.15580935940737	1.70076223236896	4.64619296328233	0
DDB_G0267210	175.617123796202	136.661675830296	157.767766397866	79.0854438051569	51.8824880899861	382.166169333936
DDB_G0267212	9.16263254588878	27.9138742121455	34.0283417720886	17.0076223236896	7.74365493880389	63.4300695989936
DDB_G0267214	0	0	2.06232374376295	0.850381116184482	1.54873098776078	0
DDB_G0267216	0	0	4.1246474875259	3.40152446473793	2.32309648164117	15.8575173997484
DDB_G0267222	7.63552712157399	2.90769523043182	4.1246474875259	2.55114334855345	2.32309648164117	12.6860139197987
DDB_G0267224	3.05421084862959	0.581539046086364	0	0.850381116184482	2.32309648164117	3.17150347994968
DDB_G0267226	1.5271054243148	0.581539046086364	2.06232374376295	0	0	1.58575173997484
DDB_G0267228	9.16263254588878	5.23385141477728	5.15580935940737	0.850381116184482	0	42.8152969793207
DDB_G0267230	24.4336867890368	12.2123199678136	13.4051043344592	0.850381116184482	13.1642133959666	31.7150347994968
DDB_G0267232	1.5271054243148	1.16307809217273	0	0	0.774365493880389	0
DDB_G0267234	0	1.74461713825909	7.21813310317032	4.25190558092241	1.54873098776078	7.9287586998742
DDB_G0267236	115033.797402785	109563.700899809	89899.7854762425	17892.8690656377	36140.4119648916	66782.3487773004
DDB_G0267238	17213.5323428764	13250.3671650778	12885.3987510309	3360.70617116107	4419.30387357538	9075.25720787601
DDB_G0267240	212.267653979757	240.757165079755	214.481669351347	29.7633390664569	46.4619296328233	128.445890937962
DDB_G0267242	50.3944790023883	40.7077332260455	31.9660180283257	19.5587656722431	17.8104063592489	39.643793499371
DDB_G0267244	164.927385825998	257.040258370173	230.98025930145	39.9679124606707	29.4258887674548	223.590995336452
DDB_G0267246	33.5963193349255	25.5877180278	19.592075565748	11.0549545103983	3.87182746940194	38.0580417593962
DDB_G0267248	45.8131627294439	33.7292646730091	27.8413705407998	9.35419227802931	13.1642133959666	39.643793499371
