gene_id	WT1_vegetativ	WT2_vegetativ	WT3_vegetativ	D1_vegetativ	D2_vegetativ	D3_vegetativ
DDB_G0267178	1.55728955580337	3.11690942468877	0.664787856599195	1.57604488827844	10.227627599257	0
DDB_G0267180	0	0	0.664787856599195	4.72813466483531	21.7337086484212	7.5670017338037
DDB_G0267182	3.11457911160674	0	1.32957571319839	2.36406733241766	97.1624621929419	25.6113904836433
DDB_G0267184	0	1.55845471234439	3.32393928299598	0	5.11381379962852	0
DDB_G0267188	3.11457911160674	0	0	3.15208977655688	2.55690689981426	1.74623116933932
DDB_G0267194	0	3.11690942468877	0.664787856599195	0.788022444139219	5.11381379962852	2.32830822578575
DDB_G0267196	1.55728955580337	3.11690942468877	0	2.36406733241766	6.39226724953565	2.91038528223219
DDB_G0267198	4.67186866741012	1.55845471234439	1.32957571319839	0.788022444139219	2.55690689981426	2.32830822578575
DDB_G0267200	0	1.55845471234439	0	1.57604488827844	0	0
DDB_G0267202	1.55728955580337	0	0	0.788022444139219	0	0
DDB_G0267206	6.22915822321349	3.11690942468877	4.65351499619437	1.57604488827844	0	3.49246233867863
DDB_G0267208	1.55728955580337	0	0	0.788022444139219	2.55690689981426	1.16415411289288
DDB_G0267210	15.5728955580337	6.23381884937754	7.97745427919034	6.30417955311375	77.985660444335	45.4020104028222
DDB_G0267212	0	0	1.99436356979759	2.36406733241766	6.39226724953565	5.82077056446438
DDB_G0267214	3.11457911160674	0	0	0.788022444139219	2.55690689981426	0
DDB_G0267216	0	3.11690942468877	1.99436356979759	0	1.27845344990713	0
DDB_G0267222	3.11457911160674	0	3.32393928299598	3.15208977655688	8.94917414934991	2.32830822578575
DDB_G0267224	1.55728955580337	0	0.664787856599195	0	0	0.582077056446438
DDB_G0267226	0	0	0.664787856599195	0	2.55690689981426	0
DDB_G0267228	0	1.55845471234439	0	0	10.227627599257	4.65661645157151
DDB_G0267230	330.145385830315	370.912221537964	317.103807597816	0	145.743693289413	55.8793974188581
DDB_G0267232	0	3.11690942468877	0	0.788022444139219	0	0
DDB_G0267234	3.11457911160674	3.11690942468877	1.32957571319839	3.15208977655688	1.27845344990713	1.74623116933932
DDB_G0267236	14160.4339309201	12755.9518205388	12228.7726221422	6700.55484251578	6673.52700851522	4875.47742479537
DDB_G0267238	2866.97007223401	2565.21645651886	2197.12386606034	1211.19049664198	1196.63242911307	1191.51173454586
DDB_G0267240	23.3593433370506	15.5845471234439	21.9379992677734	60.6777281987199	12.7845344990713	34.9246233867863
DDB_G0267242	1.55728955580337	1.55845471234439	0	2.36406733241766	6.39226724953565	8.73115584669658
DDB_G0267244	21.8020537812472	10.9091829864107	37.8929078261541	10.2442917738098	56.2519517959137	40.1633168948042
