gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDB_G0274291	1019.584	0.03102361	0.15708229	0.8005993	0.8971548
DDB_G0274293	707.4327	-0.4318543	0.11598705	2.66137e-05	0.0003828243
DDB_G0274295	196.0321	-0.05654347	0.17842209	0.6693438	0.8180063
DDB_G0274297	77.27193	0.1345628	0.231492	0.378385	0.5875803
DDB_G0274299	2.543359	-0.1363987	0.53571657	0.3642809	NA
DDB_G0274301	294.3928	-0.2668759	0.16559405	0.03902296	0.1227151
DDB_G0274303	106.2372	-0.6602795	0.2775307	0.001199442	0.008723212
DDB_G0274305	2094.575	0.3657173	0.19011524	0.01172294	0.05051634
DDB_G0274307	1077.988	0.1152055	0.12478667	0.2749052	0.4783173
DDB_G0274309	36.74798	-3.07975	0.54089289	3.301535e-10	1.991514e-08
DDB_G0274311	693.54	-0.1403766	0.11653426	0.1617694	0.3369201
DDB_G0274313	350.3008	0.2513918	0.16324579	0.04911839	0.145307
DDB_G0274315	184.9643	-0.03610696	0.17434533	0.7821741	0.8871361
DDB_G0274317	68.27353	0.1802253	0.34433525	0.3027079	0.5073907
DDB_G0274321	1477.66	-0.03301882	0.20546538	0.8165782	0.9051422
DDB_G0274323	360.1856	0.03734625	0.13266429	0.7346413	0.8604485
DDB_G0274325	753.5463	0.2867573	0.27545789	0.09930043	0.2377646
DDB_G0274327	5008.058	-0.05505884	0.12844057	0.6093639	0.7772956
DDB_G0274329	327.5372	-0.01962635	0.12039533	0.8488289	0.922921
DDB_G0274331	1607.735	-0.06705831	0.12414586	0.5238372	0.7151881
DDB_G0274333	53.03164	-0.0465453	0.2074741	0.7450643	0.8649525
DDB_G0274335	1.688887	-0.03190437	0.46745894	0.8232875	NA
DDB_G0274337	10.81255	0.08894482	0.35926798	0.5871382	0.7614738
DDB_G0274339	9220.461	-0.04982711	0.0989282	0.574293	0.7526589
DDB_G0274341	1080.649	-1.035866	0.14885074	9.230706e-14	1.096025e-11
DDB_G0274343	2.835759	0.248949	0.68744199	0.1277396	NA
DDB_G0274345	140.9027	0.03643727	0.17971489	0.7838314	0.8879816
DDB_G0274347	748.9677	-0.2677739	0.16765642	0.04002113	0.1251166
DDB_G0274349	742.3013	-0.4390992	0.19714933	0.003950931	0.02198287
DDB_G0274351	115.124	0.5122131	0.25419396	0.00515399	0.02726876
DDB_G0274353	844.6034	-0.7815112	0.27160744	0.0001985374	0.002039619
DDB_G0274355	205.9945	0.7649349	0.24266491	9.173421e-05	0.001086935
DDB_G0274357	76.40889	1.4417	0.33876273	1.947183e-07	5.826054e-06
DDB_G0274359	491.8874	0.2455843	0.27154527	0.1484888	0.3180694
DDB_G0274361	420.3624	0.009653457	0.17685084	0.9415118	0.9688244
DDB_G0274363	16.0456	-1.634381	0.82409112	0.0003289733	0.003105288
DDB_G0274365	436.0007	0.1504196	0.14556615	0.2000033	0.387947
DDB_G0274367	1131.078	0.4355703	0.2538843	0.01405345	0.05774968
DDB_G0274369	181.4487	-0.5411486	0.20258056	0.000795994	0.006300921
DDB_G0274371	216.9192	0.350147	0.16094579	0.006633886	0.03279907
DDB_G0274373	909.2747	0.1117581	0.16172436	0.3726772	0.5813711
DDB_G0274375	14390.3	-0.04625968	0.10593932	0.621097	0.7855111
DDB_G0274377	4.490333	0.1532344	0.50771012	0.3371147	0.5439741
DDB_G0274379	8.870786	0.2825957	0.45311349	0.1441799	0.3125792
DDB_G0274381	16961.05	0.127649	0.11064511	0.186055	0.3699455
DDB_G0274383	802.7521	-0.1307698	0.09767968	0.1353626	0.2989213
DDB_G0274385	281.9337	-3.525079	0.78144152	1.003806e-07	3.330275e-06
DDB_G0274387	2382.025	-0.01061378	0.1311125	0.9226454	0.9596533
DDB_G0274389	1498.962	-0.01098458	0.11892902	0.9142922	0.9558317
DDB_G0274391	1337.902	-0.7020586	0.34491659	0.002326496	0.01461999
DDB_G0274393	30.38797	-0.4365578	0.34805073	0.03342274	0.1095955
DDB_G0274395	297.4341	-0.1221735	0.13737301	0.2788578	0.4831732
DDB_G0274397	22.85536	0.4632898	0.56638929	0.04616498	0.1389862
DDB_G0274399	1314.272	0.2272166	0.21663194	0.1329982	0.2950866
DDB_G0274401	65.78923	0.1464176	0.21482835	0.3217417	0.5281267
DDB_G0274403	0.6260237	-0.06817267	0.61759374	0.4924501	NA
DDB_G0274405	76.22638	0.1580765	0.21250236	0.2831854	0.487765
DDB_G0274407	790.2701	0.06022434	0.13055378	0.5804892	0.7566193
DDB_G0274409	1821.703	0.3966815	0.16113892	0.002417529	0.01505783
DDB_G0274411	19.06772	0.6434005	0.55388256	0.01464385	0.0598912
DDB_G0274413	0.1885415	-0.02188736	0.6084247	0.8092776	NA
DDB_G0274415	0.6049851	0.04156772	0.61144069	0.6560752	NA
DDB_G0274419	65.99176	-0.4156078	0.26328037	0.02053015	0.07683481
DDB_G0274421	73.8067	-0.1702023	0.22040771	0.2580461	0.4594003
DDB_G0274423	346.2195	-0.3485292	0.18294975	0.0132823	0.05528574
DDB_G0274425	2129.064	0.1027703	0.13729658	0.3621079	0.5717493
DDB_G0274427	932.8561	0.3454234	0.27281501	0.0516379	0.1505605
DDB_G0274429	162.1855	0.9746037	0.45400332	0.0006946044	0.005636789
DDB_G0274431	587.474	1.044543	0.42138387	0.0002435875	0.00241235
DDB_G0274433	14.61248	-0.0439772	0.32350375	0.7856221	0.8882246
DDB_G0274435	119.8195	0.2510624	0.19705351	0.08128822	0.2073567
DDB_G0274437	1202.578	-0.2049238	0.11235352	0.03550131	0.1146778
DDB_G0274439	3.389851	-0.06514062	0.42784541	0.671521	NA
DDB_G0274441	1052.969	0.430243	0.26747152	0.01807778	0.0703742
DDB_G0274443	144.2375	0.336184	0.22472851	0.03502203	0.1135377
DDB_G0274445	8.656192	0.009973637	0.33082571	0.950467	0.9733415
DDB_G0274447	209.1804	0.2896257	0.17697205	0.03283287	0.1080697
DDB_G0274449	4698.081	0.1966959	0.0973343	0.02387844	0.08605393
DDB_G0274451	13.50614	-0.8239294	0.60092686	0.005580924	0.02887744
DDB_G0274453	1.192325	-0.05191781	0.51568756	0.6982219	NA
DDB_G0274455	13980.56	-0.4179372	0.12747729	0.000153242	0.001649351
DDB_G0274457	390.1512	0.08908388	0.12854749	0.4085211	0.6168008
DDB_G0274459	178.1412	-0.1638154	0.55469559	0.2919795	0.4959386
DDB_G0274461	381.6117	0.4178953	0.16574092	0.001862612	0.01221527
DDB_G0274463	1695.583	-0.04786239	0.09503847	0.5773966	0.7541726
DDB_G0274465	165.2035	-0.3657611	0.2141592	0.01942381	0.07399548
DDB_G0274467	5.84908	0.06585224	0.38028917	0.6802821	0.824673
DDB_G0274469	319.6977	0.01984864	0.13842218	0.8610053	0.9295692
DDB_G0274471	1630.341	0.04826237	0.1285637	0.6544493	0.8076765
DDB_G0274473	73.89297	0.4298963	0.29901227	0.0253191	0.08955768
DDB_G0274475	368.5047	-0.2848309	0.18276422	0.03964703	0.1242964
DDB_G0274477	4.114223	0.5983393	0.85910826	0.02440677	0.08739947
DDB_G0274479	135.811	-0.6583185	0.53144081	0.01237951	0.05259544
DDB_G0274481	331.1152	-0.2314243	0.39981311	0.2081336	0.3981357
DDB_G0274483	1070.917	0.04105157	0.09949146	0.6450459	0.801212
DDB_G0274485	679.5999	0.04240879	0.12512696	0.6885671	0.8299559
DDB_G0274487	6708.807	0.1741463	0.15642487	0.1575706	0.331048
DDB_G0274489	122.0742	0.5684654	0.28313054	0.004208819	0.02311367
DDB_G0274491	30.79613	0.1832959	0.27919845	0.2732381	0.4765928
DDB_G0274493	1615.299	0.05753071	0.18372073	0.6690029	0.8178164
DDB_G0274495	4272.955	-0.2839483	0.1563039	0.02273835	0.08319449
DDB_G0274499	11.30951	0.4003942	0.51658153	0.06629107	0.180294
DDB_G0274501	89.3764	-0.387796	0.23699297	0.0205862	0.07696435
DDB_G0274503	831.1753	0.101194	0.15573523	0.4083887	0.6167195
DDB_G0274505	1625.946	0.3489819	0.23923756	0.03551849	0.1147004
DDB_G0274507	1.318106	-0.1217622	0.55605848	0.3895044	NA
DDB_G0274509	25.73488	0.001587978	0.28528633	0.9920453	0.9951372
DDB_G0274511	665.7879	0.1520232	0.11215178	0.1187627	0.2715675
DDB_G0274513	12.6693	0.07561616	0.29790114	0.6415878	0.7992489
DDB_G0274515	6.709247	0.5385093	0.62291746	0.03118416	0.1037625
DDB_G0274517	6.502364	0.0696853	0.39886985	0.6594409	0.8117065
DDB_G0274519	6689.265	-0.1946259	0.08478089	0.01224478	0.05216055
DDB_G0274521	1540.264	0.3241447	0.26961088	0.06391851	0.1756068
DDB_G0274523	34.84338	-0.7889107	0.39048904	0.001725793	0.01156383
DDB_G0274525	152.7519	-0.3934095	0.27648054	0.03089569	0.1030161
DDB_G0274527	254.3058	2.20207	0.80157313	3.433386e-05	0.0004771503
DDB_G0274529	70.13536	-0.1238988	0.2095367	0.3937804	0.6032654
DDB_G0274531	0.6228605	0.1332068	0.63283261	0.2795416	NA
DDB_G0274533	12.84853	-0.4257965	0.49764624	0.05513304	0.1579591
DDB_G0274535	591.3262	-0.1381012	0.18222192	0.3060237	0.5114753
DDB_G0274537	755.7348	0.5286357	0.18213613	0.0004044535	0.003667392
DDB_G0274539	13.3462	-0.5127946	0.53744557	0.03275731	0.1078935
DDB_G0274541	366.5094	-0.1808179	0.21980382	0.230063	0.4257985
DDB_G0274543	1.476292	0.03478362	0.46524635	0.8085713	NA
DDB_G0274545	299.6118	0.4040104	0.14329972	0.0007814029	0.006202832
DDB_G0274547	441.9625	0.1382065	0.13619853	0.2179294	0.4101173
DDB_G0274549	1428.237	-0.007841175	0.11073434	0.9354571	0.9656773
DDB_G0274551	2616.975	0.07950822	0.15806818	0.5195115	0.7109124
DDB_G0274553	3033.48	0.08944452	0.10502757	0.3354819	0.5417661
DDB_G0274555	564.7089	-0.03731657	0.13992019	0.7437784	0.8647153
DDB_G0274557	156.4848	-0.0236536	0.20429931	0.8676144	0.9328653
DDB_G0274559	3679.137	0.09435078	0.12610908	0.3749339	0.5840692
DDB_G0274561	11257.23	-0.3875438	0.22638094	0.01746013	0.06864769
DDB_G0274565	336.7878	-0.02930111	0.16023825	0.8136614	0.9040438
DDB_G0274567	49.59676	0.3769844	0.3439896	0.05699906	0.1618606
DDB_G0274569	690.7879	-0.03647782	0.17216421	0.77846	0.8849475
DDB_G0274571	39.53596	-0.05519521	0.22126989	0.7084071	0.8442506
DDB_G0274573	5.672516	0.2336598	0.54817286	0.1880519	0.3724869
DDB_G0274575	939.7275	-0.1046533	0.26795941	0.5135741	0.7068828
DDB_G0274577	1175.237	-0.2381751	0.10482481	0.009870975	0.04453784
DDB_G0274579	758.481	-0.3758892	0.13503459	0.000989985	0.007469586
DDB_G0274581	373.309	-0.1193187	0.11119974	0.2183102	0.4104353
DDB_G0274583	3.615983	0.9785837	1.29973342	0.005189206	0.02740367
DDB_G0274585	278.4616	-0.05817041	0.20895991	0.6857936	0.8280616
DDB_G0274587	1720.671	0.4554992	0.29366795	0.01813259	0.07052435
DDB_G0274589	164.5911	-0.125516	0.27000927	0.4376407	0.6434413
DDB_G0274591	122.886	0.2328415	0.1872993	0.09419038	0.2290788
DDB_G0274593	1035.633	-0.4094912	0.11526483	5.643607e-05	0.0007308827
DDB_G0274595	17776.79	-0.0171264	0.0973325	0.844991	0.920871
DDB_G0274597	13636.03	0.1110056	0.18870264	0.4184199	0.6267964
DDB_G0274599	23043.4	-0.6813558	0.10127068	2.333175e-12	1.964045e-10
DDB_G0274601	23766.24	-0.2921326	0.0734376	1.994729e-05	0.0003020552
DDB_G0274603	458.0376	0.1144543	0.13807835	0.3120108	0.5171906
DDB_G0274605	1476.699	-0.5308046	0.2438404	0.003219608	0.01886607
DDB_G0274607	956.629	-0.4240058	0.11441978	2.928457e-05	0.0004149874
DDB_G0274609	592.8942	0.3131409	0.20007189	0.03392775	0.1108969
DDB_G0274611	0.09427075	-0.009296721	0.60682469	0.9179156	NA
DDB_G0274613	790.074	0.2108861	0.15471611	0.08563081	0.2150291
DDB_G0274615	0.6000293	0.07770304	0.62736385	0.4296547	NA
DDB_G0274617	90.40739	-2.351255	0.55608596	3.135839e-07	8.79907e-06
DDB_G0274619	0.2699546	0.04567886	0.61672434	0.6176661	NA
DDB_G0274621	1.307964	0.08344404	0.54476029	0.5299557	NA
DDB_G0274623	730.2763	0.1835657	0.29986657	0.2828883	0.487765
DDB_G0274627	6638.232	-0.02954018	0.12390475	0.7786362	0.8850278
DDB_G0274629	3.781861	0.1256271	0.43344737	0.4398866	0.6453272
DDB_G0274631	19.78648	-0.02123049	0.2746127	0.8932926	0.9460227
DDB_G0274633	2.379623	0.03487935	0.50856579	0.793751	NA
DDB_G0274635	24.46476	0.1064431	0.2944825	0.5164968	0.7087694
DDB_G0274637	8.047902	0.2269692	0.44592816	0.2133062	0.4047936
DDB_G0274641	138.6866	-1.436591	0.66825701	0.00027742	0.002697671
DDB_G0274643	482.7504	0.1178688	0.15097722	0.3263284	0.5324926
DDB_G0274645	142.0454	0.003131791	0.48756946	0.981747	0.9896431
DDB_G0274649	388.5062	0.3493573	0.1565818	0.005738	0.02950075
DDB_G0274651	4.607528	-0.05540864	0.42427475	0.7172858	0.8493579
DDB_G0274653	3.628248	0.1792293	0.44945349	0.2976684	0.5024241
DDB_G0274655	1896.59	0.3906489	0.44480623	0.06610009	0.1799249
DDB_G0274657	375.6339	0.07899638	0.15839671	0.5227267	0.7141032
DDB_G0274659	99.76008	-0.4934554	0.27269971	0.008946366	0.04137557
DDB_G0274661	7335.585	-0.2281799	0.16128834	0.07095025	0.1888435
DDB_G0274663	1622.193	0.1947467	0.08898724	0.01608481	0.06431644
DDB_G0274665	20.44227	-0.2148154	0.30024779	0.2164089	0.4082759
DDB_G0274667	1.304686	0.06396548	0.49996757	0.647475	NA
DDB_G0274669	27.72127	0.2272581	0.36508667	0.2122476	0.4035995
DDB_G0274673	1.021429	0.09005236	0.64393498	0.3484071	NA
DDB_G0274675	70.12034	-0.37526	0.30640436	0.04766426	0.1422589
DDB_G0274677	477.3544	-1.545651	0.42634895	2.565812e-06	5.349789e-05
DDB_G0274679	185.6261	-1.019749	0.68566192	0.002633653	0.01610168
DDB_G0274681	6.27314	-0.2646991	0.55794526	0.1534575	0.3259242
DDB_G0274683	0.1885415	-0.02188736	0.6084247	0.8092776	NA
DDB_G0274685	2.336396	-0.01435468	0.44255999	0.922117	NA
DDB_G0274687	291.3025	0.4211774	0.29620937	0.02715894	0.09357143
DDB_G0274689	72.3897	0.4430743	0.2648853	0.01492948	0.06075561
DDB_G0274691	2110.484	-0.02620063	0.16738103	0.8372463	0.9172923
DDB_G0274693	944.8275	0.1853308	0.13132481	0.09026662	0.2225104
DDB_G0274695	373.1587	-0.1286245	0.13236491	0.2421893	0.4405628
DDB_G0274697	1590.685	-0.1648401	0.11030687	0.08658229	0.2165037
DDB_G0274699	3.89967	-0.2507517	0.51140927	0.1747093	0.35451
DDB_G0274701	63.59041	1.300147	0.33939238	1.406569e-06	3.160577e-05
DDB_G0274703	801.4171	-0.005024388	0.12029648	0.9610595	0.9781059
DDB_G0274705	130.7773	-0.05156489	0.1691006	0.687964	0.8298479
DDB_G0274707	9.88778	-0.4227011	0.53837773	0.05822824	0.1642858
DDB_G0274709	6.753649	-0.1268097	0.39841327	0.4453431	0.6502874
DDB_G0274711	18.33165	-0.1552679	0.34796423	0.3662877	0.576091
DDB_G0274713	266.6047	0.5238746	0.27732893	0.006606747	0.03270036
DDB_G0274715	95.79967	0.04265586	0.195069	0.7585862	0.8741621
DDB_G0274719	0.5937332	-0.06045273	0.61836373	0.5281792	NA
DDB_G0274721	31.05994	0.9301956	0.89934886	0.006850894	0.03371644
DDB_G0274723	161.233	-0.007819516	0.15052193	0.9478818	0.9713033
DDB_G0274725	115.0151	-0.02957584	0.15898856	0.8110769	0.90253
DDB_G0274727	7087.037	-0.2972508	0.21648052	0.05378683	0.1550908
DDB_G0274729	1.110912	-0.161286	0.59885357	0.2682106	NA
DDB_G0274731	57.91931	0.3637548	0.27337902	0.04216789	0.13004
DDB_G0274733	17.77796	-0.05122974	0.30686231	0.7514283	0.8693448
DDB_G0274735	186.8247	-1.683506	0.68250743	9.564059e-05	0.001122608
DDB_G0274739	218.8374	-0.113972	0.16658591	0.3719987	0.5810225
DDB_G0274741	130.0727	-0.5300991	0.23143573	0.002404148	0.01498275
DDB_G0274743	337.082	-0.009905932	0.14782237	0.9332513	0.9643711
DDB_G0274745	641.1006	0.3427221	0.21080227	0.02587952	0.09085621
DDB_G0274747	1.036334	-0.2025518	0.67227869	0.1637156	NA
DDB_G0274751	167.5217	-0.9696358	0.3256648	7.388047e-05	0.0009127839
DDB_G0274753	3.543716	-0.06290123	0.58999064	0.5701405	0.7499503
DDB_G0274755	14.16863	0.02088697	0.28798384	0.8959279	0.9466154
DDB_G0274757	537.9021	-0.2049989	0.15790577	0.09908733	0.2374055
DDB_G0274759	142.0412	0.5910498	0.58084994	0.02164031	0.07997032
DDB_G0274761	0.3675033	0.05177867	0.61950503	0.5734201	NA
DDB_G0274763	0.8861195	0.04514412	0.60379717	0.6471607	NA
DDB_G0274765	1.739968	0.2266508	0.74010958	0.1022101	NA
DDB_G0274771	81.69766	0.1678472	0.19426201	0.2323451	0.4291555
DDB_G0274773	105.4924	0.101552	0.24576372	0.5133723	0.7067548
DDB_G0274775	6609.557	-0.1939421	0.08366291	0.01159355	0.0501631
DDB_G0274777	311.574	-0.07908284	0.18678621	0.5608942	0.7430283
DDB_G0274779	193.4154	0.9118279	0.24209755	6.338089e-06	0.000114757
DDB_G0274781	4155.496	-0.6534564	0.12777873	3.625825e-08	1.381733e-06
DDB_G0274785	466.4291	-0.2722129	0.16387902	0.03416363	0.1115141
DDB_G0274787	29.19994	0.241671	0.27948467	0.1592338	0.3332388
DDB_G0274789	999.0526	0.02831766	0.09367232	0.7387935	0.8626012
DDB_G0274791	216.8184	0.06197235	0.1752738	0.6364718	0.796384
DDB_G0274793	16.65077	-0.01766213	0.3098625	0.9125295	0.9551204
DDB_G0274795	195.6917	-0.08808842	0.19059842	0.5220642	0.7137177
DDB_G0274797	553.6062	0.369002	0.25651685	0.03363331	0.1101259
DDB_G0274799	525.0629	0.3413816	0.18941203	0.01753097	0.06885423
DDB_G0274801	85.34272	-2.732806	0.40020967	2.581848e-13	2.913332e-11
DDB_G0274803	796.4859	-0.02284824	0.10209074	0.8016769	0.8976863
DDB_G0274805	948.972	-0.1257079	0.09896	0.1555162	0.3283217
DDB_G0274807	19.68099	0.1201992	0.31102181	0.4705654	0.674029
DDB_G0274809	640.2724	0.2239969	0.14802103	0.06019894	0.1683156
DDB_G0274811	2009.468	-0.4685313	0.17004599	0.0007645601	0.006103495
DDB_G0274813	2019.728	-0.07178406	0.16038346	0.5642534	0.7455521
DDB_G0274815	81.14512	-0.04098942	0.1953174	0.7678674	0.8785418
DDB_G0274817	16.28329	0.1549246	0.33929733	0.3665713	0.576296
DDB_G0274819	138.6601	0.4049128	0.27974569	0.02794865	0.09553329
DDB_G0274821	25.09475	0.186838	0.29954053	0.2750658	0.4783753
DDB_G0274823	11.34414	0.04485916	0.33345693	0.7812496	0.8868105
DDB_G0274825	392.921	0.8297623	0.54796661	0.004228935	0.02321284
DDB_G0274827	2135.267	0.3040263	0.25770005	0.07336718	0.1932699
DDB_G0274829	197.1195	-0.03555423	0.17402446	0.7852051	0.8881832
DDB_G0274831	130.0479	-2.157953	0.40425153	1.864787e-09	9.348798e-08
DDB_G0274833	265.8036	-0.06506805	0.16908918	0.6124763	0.7797593
