gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj
DDB_G0279647	790.6025	0.1466762	0.19480699	0.1923837	0.4871785
DDB_G0279649	6020.722	-0.09166475	0.16025413	0.3210639	0.608101
DDB_G0279651	32.39416	-0.3306575	0.46232256	0.03530819	0.2532081
DDB_G0279653	1868.975	-0.2916493	0.34351926	0.08655881	0.3630978
DDB_G0279655	472.9733	-0.07653485	0.17352924	0.4499266	0.7058793
DDB_G0279657	5463.875	-0.02895864	0.19371091	0.7979692	0.9089038
DDB_G0279659	5641.878	-0.3723688	0.23106953	0.01818216	0.1901262
DDB_G0279661	144.9184	0.2069274	0.37676369	0.147792	0.442863
DDB_G0279663	765.0687	0.02495647	0.23032923	0.8437762	0.9334601
DDB_G0279665	4622.458	0.1484371	0.31054093	0.3067842	0.5986046
DDB_G0279667	19154.22	-0.04936016	0.28659564	0.713159	0.8656998
DDB_G0279669	181.6558	0.1789737	0.31565053	0.2338341	0.5265482
DDB_G0279671	168.6125	-0.08198208	0.277257	0.549891	0.7707388
DDB_G0279673	2051.251	-0.1980675	0.27758705	0.1854999	0.4795779
DDB_G0279675	1008.3	-0.3622277	0.36685799	0.04684177	0.2837474
DDB_G0279677	617.0588	0.0215837	0.16930862	0.8312757	0.9260261
DDB_G0279679	171.6506	0.4137928	0.34635685	0.02984388	0.2364165
DDB_G0279681	2295.096	-0.07904587	0.32378918	0.5432029	0.7664757
DDB_G0279683	321.1524	-0.05164037	0.26043457	0.6990685	0.8576044
DDB_G0279685	80.29616	0.601972	0.29218873	0.00331554	0.08382898
DDB_G0279687	51.13847	-0.2164643	0.40944626	0.1060816	0.3903318
DDB_G0279689	1857.871	0.4861134	0.33093419	0.01455868	0.1686137
DDB_G0279691	21.82815	0.1058761	0.36823741	0.3539982	0.6345549
DDB_G0279693	1689.349	0.02203733	0.1524653	0.8106742	0.9149634
DDB_G0279695	192.2832	0.06779981	0.24215128	0.6043271	0.8038387
DDB_G0279697	216.6894	0.4834123	0.48879287	0.01227907	0.1573877
DDB_G0279699	3147.34	0.2106415	0.34655437	0.1679969	0.4610165
DDB_G0279701	530.2267	0.1218659	0.26504558	0.3816389	0.6555227
DDB_G0279703	1903.515	0.3379861	0.46429128	NA	NA
DDB_G0279705	2082.113	-0.1024428	0.35637791	0.3936357	0.6659796
DDB_G0279707	408.3031	0.4860738	0.35343927	0.01579384	0.175955
DDB_G0279709	8.820587	0.1139224	0.34179506	0.3814646	0.6553635
DDB_G0279711	3.291462	-0.024835	0.35911224	0.807083	NA
DDB_G0279713	2658.476	-0.1280647	0.32929743	0.3526824	0.6335096
