"GOID","Name","Namespace","Definition","Synonyms","Is_a"
"GO:0000001","mitochondrion inheritance","biological_process","The distribution of mitochondria, including the mitochondrial genome, into daughter cells after mitosis or meiosis, mediated by interactions between mitochondria and the cytoskeleton.",mitochondrial inheritance,c("GO:0048308", "GO:0048311")
"GO:0000002","mitochondrial genome maintenance","biological_process","The maintenance of the structure and integrity of the mitochondrial genome; includes replication and segregation of the mitochondrial chromosome.",NULL,GO:0007005
"GO:0000003","obsolete reproduction","biological_process","OBSOLETE. The production of new individuals that contain some portion of genetic material inherited from one or more parent organisms.",reproductive physiological process,NULL
"GO:0000005","obsolete ribosomal chaperone activity","molecular_function","OBSOLETE. Assists in the correct assembly of ribosomes or ribosomal subunits in vivo, but is not a component of the assembled ribosome when performing its normal biological function.",ribosomal chaperone activity,NULL
"GO:0000006","high-affinity zinc transmembrane transporter activity","molecular_function","Enables the transfer of zinc ions (Zn2+) from one side of a membrane to the other, probably powered by proton motive force. In high-affinity transport the transporter is able to bind the solute even if it is only present at very low concentrations.",c("high affinity zinc uptake transmembrane transporter activity", "high-affinity zinc uptake transmembrane transporter activity"),GO:0005385
"GO:0000007","low-affinity zinc ion transmembrane transporter activity","molecular_function","Enables the transfer of a solute or solutes from one side of a membrane to the other according to the reaction: Zn2+ = Zn2+, probably powered by proton motive force. In low-affinity transport the transporter is able to bind the solute only if it is present at very high concentrations.",NULL,GO:0005385
"GO:0000008","obsolete thioredoxin","molecular_function","OBSOLETE. A small disulfide-containing redox protein that serves as a general protein disulfide oxidoreductase. Interacts with a broad range of proteins by a redox mechanism, based on the reversible oxidation of 2 cysteine thiol groups to a disulfide, accompanied by the transfer of 2 electrons and 2 protons. The net result is the covalent interconversion of a disulfide and a dithiol.",thioredoxin,NULL
"GO:0000009","alpha-1,6-mannosyltransferase activity","molecular_function","Catalysis of the transfer of a mannose residue to an oligosaccharide, forming an alpha-(1->6) linkage.",1,6-alpha-mannosyltransferase activity,GO:0000030
"GO:0000010","heptaprenyl diphosphate synthase activity","molecular_function","Catalysis of the reaction: (2E,6E)-farnesyl diphosphate + 4 isopentenyl diphosphate = 4 diphosphate + all-trans-heptaprenyl diphosphate.",c("all-trans-heptaprenyl-diphosphate synthase activity", "HepPP synthase activity", "heptaprenyl pyrophosphate synthase activity", "heptaprenyl pyrophosphate synthetase activity", "trans-hexaprenyltranstransferase activity"),GO:0004659
"GO:0000011","vacuole inheritance","biological_process","The distribution of vacuoles into daughter cells after mitosis or meiosis, mediated by interactions between vacuoles and the cytoskeleton.",NULL,c("GO:0007033", "GO:0048308")
