gene_id	WT1_vegetativ	WT2_vegetativ	WT3_vegetativ	D1_vegetativ	D2_vegetativ	D3_vegetativ
DDB_G0290521	6.45594831	6.6011113	6.70807285	7.58400916	6.83524886	6.77588796
DDB_G0290523	9.63110289	9.63208617	9.765695	9.30508729	9.52724394	9.54503868
DDB_G0290525	6.28690659	6.12525948	5.920382	6.15240784	6.11826808	6.17735285
DDB_G0290527	5.97809553	5.71389267	5.89476672	5.8306795	6.04074263	5.89825162
DDB_G0290529	9.9753764	10.10458914	10.37403641	9.99367028	9.57165529	10.11744694
DDB_G0290533	5.4986683	5.20249694	5.53749911	5.50044017	5.47093056	5.5643259
DDB_G0290535	7.60263185	7.26352002	7.54464565	8.25933777	7.5226873	8.25795456
DDB_G0290537	10.29115622	10.13493338	10.21837423	10.49019333	10.15639039	10.43532286
DDB_G0290539	6.20968831	6.48699019	6.32108919	6.71205532	7.53309559	6.64799993
DDB_G0290541	12.49512774	12.44549679	12.4087458	12.15617376	12.33575244	12.00145127
DDB_G0290543	6.35812003	5.97837883	6.63224411	6.5382359	6.63913094	6.14544329
DDB_G0290545	5.20249694	5.49877869	5.58903657	5.20249694	5.47093056	5.38376669
DDB_G0290547	11.85338948	11.66386116	11.64941348	11.6969189	11.57069403	11.97936627
DDB_G0290549	6.0302665	5.97837883	5.89476672	6.58089366	6.15438443	6.05974117
DDB_G0290551	8.70623143	8.38598441	8.55911439	8.1084255	8.9258618	8.34953902
DDB_G0290553	6.88556681	6.65391167	6.76922485	6.60841449	7.2700761	6.94453294
DDB_G0290555	9.46258234	9.53518233	8.8896916	7.82557964	9.42602895	9.26056014
DDB_G0290557	5.4986683	5.49877869	5.39619983	6.00934262	5.58157579	5.7128769
DDB_G0290559	6.62733735	6.72866449	6.90046229	7.29662828	6.92211015	6.89094653
DDB_G0290561	5.20249694	5.49877869	5.39619983	5.50044017	5.20249694	5.45868301
DDB_G0290563	10.71287237	10.50531744	10.70762906	11.09076242	10.15477164	10.37078081
DDB_G0290565	6.20968831	6.12525948	6.07735566	6.06000893	6.18900111	6.07763852
