gene_id	WT1_aggregat	WT2_aggregat	WT3_aggregat	D1_aggregat	D2_aggregat	D3_aggregat
DDB_G0276473	12.75655789	12.70092922	12.70573466	12.09959873	12.37663482	12.38263595
DDB_G0276475	11.5288642	11.66614253	11.65292917	12.38229513	11.8719764	11.95942759
DDB_G0276477	10.43115105	10.52340003	10.58720659	10.4747224	10.3724291	10.57028064
DDB_G0276479	12.00169623	12.12143793	12.06617678	12.42673625	11.53376218	11.34557519
DDB_G0276481	8.69670968	8.71014978	8.62782812	8.78790257	8.6321865	8.78982161
DDB_G0276483	6.22197622	6.0833264	6.19082341	5.93101645	6.1859863	6.21471874
DDB_G0276485	7.3852614	7.15809717	7.19061836	6.93453184	7.13184062	7.06313206
DDB_G0276487	6.59103981	6.66403907	6.86762425	7.09253381	6.74043001	6.99207713
DDB_G0276489	8.08329668	8.0403555	7.99109878	8.47782497	7.93212669	8.30560622
DDB_G0276491	9.56606107	9.71697047	9.65513987	10.45278515	9.96854808	9.92380034
DDB_G0276493	11.12436149	11.3584832	11.36894095	12.56046492	11.54240805	11.57142113
DDB_G0276495	6.03152526	5.56494386	5.98073777	5.56494386	5.7535101	5.56494386
DDB_G0276501	5.56494386	5.56494386	5.56494386	5.56494386	5.7535101	5.91435159
DDB_G0276503	8.8718631	8.94765204	8.83018878	9.2241693	9.09630964	9.1314688
DDB_G0276505	6.33974588	6.35128313	6.41629456	6.45009372	6.45570321	6.37567205
DDB_G0276507	5.92698267	5.93247605	5.91669939	5.56494386	5.89108776	6.1672327
DDB_G0276509	6.1536111	6.12436656	6.29675056	5.93101645	6.02520936	5.99236099
DDB_G0276513	7.39459757	7.52718311	7.49254602	8.22968243	7.02339436	6.95474548
DDB_G0276515	9.36559708	9.20265483	9.10896423	8.19139574	9.00297877	8.67484389
DDB_G0276517	5.92698267	5.56494386	5.78774359	5.56494386	5.7535101	5.81231358
DDB_G0276519	8.50062464	8.4632948	8.44950099	8.5634971	8.47757742	8.4652234
DDB_G0276521	6.07561831	6.1624658	6.22815231	6.24531916	6.39724787	5.99236099
DDB_G0276523	10.07352228	10.03631503	10.00568104	9.65716198	9.90155913	9.66997816
DDB_G0276525	5.86080485	5.86530204	5.78774359	5.82414251	5.94127695	6.11541198
DDB_G0276527	9.74692313	9.95315923	9.97756686	9.94267166	9.44887715	9.35203424
DDB_G0276529	10.30679624	10.36439942	10.37722467	10.66252693	10.68459479	10.43709699
DDB_G0276531	8.24827922	8.18931644	8.27487883	9.53985568	8.70210847	8.92985516
DDB_G0276533	5.92698267	6.1624658	5.78774359	6.01269398	5.7535101	5.56494386
DDB_G0276535	10.08686048	10.09192324	10.45145324	10.13221749	9.92945165	10.47298418
DDB_G0276537	6.94811159	6.93964181	6.78038197	6.79853643	6.75392736	7.06313206
DDB_G0276539	6.11606239	5.93247605	5.95008323	5.93101645	5.98540139	6.21471874
DDB_G0276541	11.3971637	11.37312253	11.53877831	11.09242273	10.95932285	10.8511049
DDB_G0276543	9.73848671	9.71697047	9.76835596	9.37574612	9.63743088	9.65502517
DDB_G0276545	7.08911855	7.15809717	7.15898478	6.01269398	6.21315533	6.29998642
DDB_G0276547	7.06477815	6.98146242	6.98613397	7.49430131	7.47975099	7.53808519
DDB_G0276549	9.83025373	9.81119214	9.66626796	8.52131836	8.89069324	9.15654839
DDB_G0276551	9.10884242	9.06418423	9.16873125	9.91539844	9.75333546	10.03948819
DDB_G0276553	8.92971379	9.05013045	8.94334711	8.55754897	8.56173863	9.05346113
DDB_G0276555	6.73639563	6.86606755	6.85922835	6.8224893	6.85576817	7.32385492
DDB_G0276557	7.21445364	7.28004691	7.70293	7.99097907	7.73993252	8.23210028
DDB_G0276559	7.49290401	7.61863966	7.452987	7.63144124	7.60052338	7.52645116
DDB_G0276561	9.42790102	9.4618093	9.52998872	10.22393687	9.87311394	9.86226268
DDB_G0276563	7.45804755	7.49222077	7.51665178	6.48508041	6.95945414	6.62080214
