File,RT,feature,mz,mode,Intensity
01_DiSfp3.mzML,11.694963,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,11.694963,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,11.694963,Discoidol,223.2056,pos,83403.2578125
01_DiSfp3.mzML,11.694963,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,11.694963,Leucine,132.1019,pos,36189.70703125
01_DiSfp3.mzML,11.694963,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,12.8849508,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,12.8849508,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,12.8849508,MPBD,195.138,pos,63681.84375
01_DiSfp3.mzML,12.8849508,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,12.8849508,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,12.8849508,Discoidol,223.2056,pos,138810.625
01_DiSfp3.mzML,12.8849508,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,12.8849508,Leucine,132.1019,pos,79649.1171875
01_DiSfp3.mzML,12.8849508,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,14.0701968,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,14.0701968,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,14.0701968,MPBD,195.138,pos,76926.2109375
01_DiSfp3.mzML,14.0701968,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,14.0701968,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,14.0701968,Discoidol,223.2056,pos,125367.953125
01_DiSfp3.mzML,14.0701968,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,14.0701968,Leucine,132.1019,pos,113361.6640625
01_DiSfp3.mzML,14.0701968,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,15.265062,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,15.265062,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,15.265062,MPBD,195.138,pos,64520.4921875
01_DiSfp3.mzML,15.265062,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,15.265062,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,15.265062,Discoidol,223.2056,pos,140493.25
01_DiSfp3.mzML,15.265062,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,15.265062,Leucine,132.1019,pos,68638.6171875
01_DiSfp3.mzML,15.265062,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,16.4604288,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,16.4604288,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,16.4604288,MPBD,195.138,pos,74707.609375
01_DiSfp3.mzML,16.4604288,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,16.4604288,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,16.4604288,Discoidol,223.2056,pos,98927.71875
01_DiSfp3.mzML,16.4604288,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,16.4604288,Leucine,132.1019,pos,107162.2265625
01_DiSfp3.mzML,16.4604288,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,17.679291,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,17.679291,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,17.679291,MPBD,195.138,pos,71907.9765625
01_DiSfp3.mzML,17.679291,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,17.679291,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,17.679291,Discoidol,223.2056,pos,104993.3046875
01_DiSfp3.mzML,17.679291,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,17.679291,Leucine,132.1019,pos,81350.7421875
01_DiSfp3.mzML,17.679291,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,18.8602878,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,18.8602878,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,18.8602878,MPBD,195.138,pos,62387.125
01_DiSfp3.mzML,18.8602878,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,18.8602878,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,18.8602878,Discoidol,223.2056,pos,129155.828125
01_DiSfp3.mzML,18.8602878,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,18.8602878,Leucine,132.1019,pos,59356.11328125
01_DiSfp3.mzML,18.8602878,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,20.0575296,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,20.0575296,PCP,225.1121,pos,17087.412109375
01_DiSfp3.mzML,20.0575296,MPBD,195.138,pos,61519.39453125
01_DiSfp3.mzML,20.0575296,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,20.0575296,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,20.0575296,Discoidol,223.2056,pos,99824.578125
01_DiSfp3.mzML,20.0575296,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,20.0575296,Leucine,132.1019,pos,88775.140625
01_DiSfp3.mzML,20.0575296,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,21.25077,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,21.25077,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,21.25077,MPBD,195.138,pos,62864.0546875
01_DiSfp3.mzML,21.25077,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,21.25077,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,21.25077,Discoidol,223.2056,pos,118813.75
01_DiSfp3.mzML,21.25077,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,21.25077,Leucine,132.1019,pos,96186.796875
01_DiSfp3.mzML,21.25077,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,22.4758818,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,22.4758818,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,22.4758818,MPBD,195.138,pos,46512.79296875
01_DiSfp3.mzML,22.4758818,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,22.4758818,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,22.4758818,Discoidol,223.2056,pos,122393.875
01_DiSfp3.mzML,22.4758818,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,22.4758818,Leucine,132.1019,pos,61230.5703125
01_DiSfp3.mzML,22.4758818,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,23.6777538,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,23.6777538,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,23.6777538,MPBD,195.138,pos,49460.30078125
01_DiSfp3.mzML,23.6777538,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,23.6777538,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,23.6777538,Discoidol,223.2056,pos,123859.7578125
01_DiSfp3.mzML,23.6777538,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,23.6777538,Leucine,132.1019,pos,61485.58203125
01_DiSfp3.mzML,23.6777538,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,24.88812,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,24.88812,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,24.88812,MPBD,195.138,pos,43117.0
01_DiSfp3.mzML,24.88812,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,24.88812,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,24.88812,Discoidol,223.2056,pos,89712.390625
01_DiSfp3.mzML,24.88812,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,24.88812,Leucine,132.1019,pos,60296.4296875
01_DiSfp3.mzML,24.88812,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,26.0992458,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,26.0992458,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,26.0992458,MPBD,195.138,pos,40363.76171875
01_DiSfp3.mzML,26.0992458,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,26.0992458,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,26.0992458,Discoidol,223.2056,pos,100965.28125
01_DiSfp3.mzML,26.0992458,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,26.0992458,Leucine,132.1019,pos,59039.01171875
01_DiSfp3.mzML,26.0992458,Mevaloic acid,149.0808,pos,15819.56640625
01_DiSfp3.mzML,27.3417288,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,27.3417288,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,27.3417288,MPBD,195.138,pos,31415.80078125
01_DiSfp3.mzML,27.3417288,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,27.3417288,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,27.3417288,Discoidol,223.2056,pos,116547.359375
01_DiSfp3.mzML,27.3417288,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,27.3417288,Leucine,132.1019,pos,68349.046875
01_DiSfp3.mzML,27.3417288,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,28.547214,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,28.547214,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,28.547214,MPBD,195.138,pos,66372.5625
01_DiSfp3.mzML,28.547214,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,28.547214,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,28.547214,Discoidol,223.2056,pos,96897.4453125
01_DiSfp3.mzML,28.547214,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,28.547214,Leucine,132.1019,pos,64429.74609375
01_DiSfp3.mzML,28.547214,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,29.7545868,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,29.7545868,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,29.7545868,MPBD,195.138,pos,46322.02734375
01_DiSfp3.mzML,29.7545868,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,29.7545868,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,29.7545868,Discoidol,223.2056,pos,101276.015625
01_DiSfp3.mzML,29.7545868,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,29.7545868,Leucine,132.1019,pos,73119.7890625
01_DiSfp3.mzML,29.7545868,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,30.9733386,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,30.9733386,PCP,225.1121,pos,14608.9833984375
01_DiSfp3.mzML,30.9733386,MPBD,195.138,pos,66258.0703125
01_DiSfp3.mzML,30.9733386,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,30.9733386,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,30.9733386,Discoidol,223.2056,pos,118737.859375
01_DiSfp3.mzML,30.9733386,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,30.9733386,Leucine,132.1019,pos,53607.26953125
01_DiSfp3.mzML,30.9733386,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,32.2036938,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,32.2036938,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,32.2036938,MPBD,195.138,pos,43129.69140625
01_DiSfp3.mzML,32.2036938,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,32.2036938,Discadenine,305.1721,pos,18156.470703125
01_DiSfp3.mzML,32.2036938,Discoidol,223.2056,pos,146672.078125
01_DiSfp3.mzML,32.2036938,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,32.2036938,Leucine,132.1019,pos,62778.71484375
01_DiSfp3.mzML,32.2036938,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,33.416685,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,33.416685,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,33.416685,MPBD,195.138,pos,42336.515625
01_DiSfp3.mzML,33.416685,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,33.416685,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,33.416685,Discoidol,223.2056,pos,128030.0859375
01_DiSfp3.mzML,33.416685,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,33.416685,Leucine,132.1019,pos,59802.046875
01_DiSfp3.mzML,33.416685,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,34.62792,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,34.62792,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,34.62792,MPBD,195.138,pos,34872.08984375
01_DiSfp3.mzML,34.62792,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,34.62792,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,34.62792,Discoidol,223.2056,pos,98443.9140625
01_DiSfp3.mzML,34.62792,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,34.62792,Leucine,132.1019,pos,54109.4921875
01_DiSfp3.mzML,34.62792,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,35.8009188,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,35.8009188,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,35.8009188,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,35.8009188,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,35.8009188,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,35.8009188,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,35.8009188,Citric acid,193.0343,pos,139838.09375
01_DiSfp3.mzML,35.8009188,Leucine,132.1019,pos,20480.3984375
01_DiSfp3.mzML,35.8009188,Mevaloic acid,149.0808,pos,36389.4765625
01_DiSfp3.mzML,36.952659,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,36.952659,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,36.952659,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,36.952659,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,36.952659,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,36.952659,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,36.952659,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,36.952659,Leucine,132.1019,pos,0.0
01_DiSfp3.mzML,36.952659,Mevaloic acid,149.0808,pos,0.0
01_DiSfp3.mzML,38.0927628,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,38.0927628,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,38.0927628,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,38.0927628,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,38.0927628,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,38.0927628,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,38.0927628,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,38.0927628,Leucine,132.1019,pos,295004.03125
01_DiSfp3.mzML,38.0927628,Mevaloic acid,149.0808,pos,465499.8125
01_DiSfp3.mzML,39.22752,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,39.22752,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,39.22752,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,39.22752,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,39.22752,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,39.22752,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,39.22752,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,39.22752,Leucine,132.1019,pos,672253.1875
01_DiSfp3.mzML,39.22752,Mevaloic acid,149.0808,pos,952558.6875
01_DiSfp3.mzML,40.3609998,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,40.3609998,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,40.3609998,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,40.3609998,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,40.3609998,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,40.3609998,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,40.3609998,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,40.3609998,Leucine,132.1019,pos,1083459.125
01_DiSfp3.mzML,40.3609998,Mevaloic acid,149.0808,pos,536555.0
01_DiSfp3.mzML,41.4970038,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,41.4970038,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,41.4970038,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,41.4970038,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,41.4970038,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,41.4970038,Discoidol,223.2056,pos,0.0
01_DiSfp3.mzML,41.4970038,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,41.4970038,Leucine,132.1019,pos,610733.125
01_DiSfp3.mzML,41.4970038,Mevaloic acid,149.0808,pos,422709.4375
01_DiSfp3.mzML,42.6341142,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,42.6341142,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,42.6341142,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,42.6341142,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,42.6341142,Discadenine,305.1721,pos,82090.4140625
01_DiSfp3.mzML,42.6341142,Discoidol,223.2056,pos,124983.140625
01_DiSfp3.mzML,42.6341142,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,42.6341142,Leucine,132.1019,pos,319223.71875
01_DiSfp3.mzML,42.6341142,Mevaloic acid,149.0808,pos,346214.375
01_DiSfp3.mzML,43.7747358,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,43.7747358,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,43.7747358,MPBD,195.138,pos,0.0
01_DiSfp3.mzML,43.7747358,Dictyodene,301.1798,pos,0.0
01_DiSfp3.mzML,43.7747358,Discadenine,305.1721,pos,0.0
01_DiSfp3.mzML,43.7747358,Discoidol,223.2056,pos,64011.91796875
01_DiSfp3.mzML,43.7747358,Citric acid,193.0343,pos,0.0
01_DiSfp3.mzML,43.7747358,Leucine,132.1019,pos,236364.0
01_DiSfp3.mzML,43.7747358,Mevaloic acid,149.0808,pos,170884.375
01_DiSfp3.mzML,44.9194788,DIF-1,307.0498,pos,0.0
01_DiSfp3.mzML,44.9194788,PCP,225.1121,pos,0.0
01_DiSfp3.mzML,44.9194788,MPBD,195.138,pos,46220.625
